AREA_ID,AREA_NM,ALL_KWRD_RANK_CO,ALL_KWRD_NM,ALL_KWRD_OCCU_RT,ALL_KWRD_CO,PASSNGR_KWRD_RANK_CO,PASSNGR_KWRD_NM,PASSNGR_KWRD_OCCU_RT,PASSNGR_KWRD_CO,LCLS_KWRD_RANK_CO,LCLS_KWRD_NM,LCLS_KWRD_OCCU_RT,LCLS_KWRD_CO
JNBK_08,전라북도,8,계곡,2.00,71,8,내장산,2.10,39,8,추어탕,2.10,36
JNBK_09,전라북도,9,축제,1.90,68,9,힐링,1.80,34,9,광한루,2.00,34
JNBK_10,전라북도,10,콩나물국밥,1.80,65,10,한우,1.80,33,9,복분자,2.00,34
JNBK_11,전라북도,11,채석강,1.80,64,10,선유도,1.80,33,11,콩나물국밥,2.00,33
JNBK_12,전라북도,12,추어탕,1.70,59,10,산,1.80,33,11,해산물,2.00,33
JNBK_13,전라북도,13,바다,1.60,58,13,콩나물국밥,1.70,32,13,전주,1.70,28
JNBK_14,전라북도,13,선유도,1.60,58,13,카페,1.70,32,13,계곡,1.70,28
JNBK_15,전라북도,15,산,1.60,57,15,펜션,1.60,29,13,이성당,1.70,28
JNBK_16,전라북도,15,해산물,1.60,57,15,체험,1.60,29,13,선운사,1.70,28
JNBK_17,전라북도,17,미륵사지석탑,1.60,56,17,공원,1.50,28,17,장어,1.50,26
JNBK_18,전라북도,17,힐링,1.60,56,18,비빔밥,1.50,27,18,선유도,1.50,25
JNBK_19,전라북도,19,이성당,1.50,53,19,축제,1.40,26,18,고추장,1.50,25
JNBK_20,전라북도,20,고추장,1.30,46,19,박물관,1.40,26,18,한정식,1.50,25
JNBK_21,전라북도,20,박물관,1.30,46,19,맛집,1.40,26,21,산,1.40,24
JNBK_22,전라북도,20,복분자,1.30,46,22,이성당,1.30,25,21,짬뽕,1.40,24
JNBK_23,전라북도,20,카페,1.30,46,22,해변,1.30,25,23,채석강,1.40,23
JNBK_24,전라북도,24,공원,1.30,45,24,해산물,1.30,24,24,힐링,1.30,22
JNBK_25,전라북도,24,맛집,1.30,45,24,전통,1.30,24,24,캠핑,1.30,22
JNBK_26,전라북도,24,캠핑,1.30,45,24,산책,1.30,24,26,박물관,1.20,20
JNBK_27,전라북도,24,펜션,1.30,45,27,추어탕,1.20,23,26,마이산,1.20,20
JNBK_28,전라북도,24,한정식,1.30,45,27,캠핑,1.20,23,26,빵,1.20,20
JNBK_29,전라북도,29,장어,1.20,43,27,마을,1.20,23,29,맛집,1.10,19
JNBK_30,전라북도,29,짬뽕,1.20,43,30,군산,1.20,22,29,등산,1.10,19
JNBK_31,전라북도,29,체험,1.20,43,,,,,29,지리산,1.10,19
JNBK_32,전라북도,,,,,,,,,29,고창읍성,1.10,19
JNBK_33,전라북도,,,,,,,,,29,재래시장,1.10,19
